,Model,Substância,cm_0,cm_1,cm_2,cm_3
0,NearestCentroid,Alcohol,2,3,40,67
1,NearestCentroid,Alcohol,3,2,44,63
2,NearestCentroid,Alcohol,3,2,37,70
3,NearestCentroid,Alcohol,5,0,45,62
4,NearestCentroid,Alcohol,3,3,41,65
5,NearestCentroid,Alcohol,4,2,41,65
6,NearestCentroid,Alcohol,1,5,47,59
7,NearestCentroid,Alcohol,1,4,39,67
8,NearestCentroid,Alcohol,2,3,41,65
9,NearestCentroid,Alcohol,3,2,34,72
10,NearestCentroid,Alcohol,2,3,41,66
11,NearestCentroid,Alcohol,4,1,36,71
12,NearestCentroid,Alcohol,3,2,42,65
13,NearestCentroid,Alcohol,2,3,46,61
14,NearestCentroid,Alcohol,4,2,35,71
15,NearestCentroid,Alcohol,2,4,37,69
16,NearestCentroid,Alcohol,2,4,41,65
17,NearestCentroid,Alcohol,3,2,47,59
18,NearestCentroid,Alcohol,3,2,39,67
19,NearestCentroid,Alcohol,2,3,49,57
20,NearestCentroid,Alcohol,3,2,38,69
21,NearestCentroid,Alcohol,1,4,41,66
22,NearestCentroid,Alcohol,2,3,42,65
23,NearestCentroid,Alcohol,1,4,40,67
24,NearestCentroid,Alcohol,4,2,51,55
25,NearestCentroid,Alcohol,1,5,39,67
26,NearestCentroid,Alcohol,6,0,51,55
27,NearestCentroid,Alcohol,2,3,38,68
28,NearestCentroid,Alcohol,3,2,32,74
29,NearestCentroid,Alcohol,3,2,38,68
30,NearestCentroid,Amphet,49,27,9,27
31,NearestCentroid,Amphet,39,37,11,25
32,NearestCentroid,Amphet,60,16,4,32
33,NearestCentroid,Amphet,45,31,11,25
34,NearestCentroid,Amphet,48,27,13,24
35,NearestCentroid,Amphet,52,23,11,26
36,NearestCentroid,Amphet,51,24,6,31
37,NearestCentroid,Amphet,50,25,11,25
38,NearestCentroid,Amphet,46,29,11,25
39,NearestCentroid,Amphet,51,24,13,23
40,NearestCentroid,Amphet,46,30,8,28
41,NearestCentroid,Amphet,50,26,14,22
42,NearestCentroid,Amphet,50,26,10,26
43,NearestCentroid,Amphet,55,21,9,27
44,NearestCentroid,Amphet,52,23,9,28
45,NearestCentroid,Amphet,52,23,12,25
46,NearestCentroid,Amphet,48,27,10,27
47,NearestCentroid,Amphet,46,29,6,30
48,NearestCentroid,Amphet,44,31,11,25
49,NearestCentroid,Amphet,48,27,13,23
50,NearestCentroid,Amphet,50,26,11,25
51,NearestCentroid,Amphet,48,28,14,22
52,NearestCentroid,Amphet,46,30,7,29
53,NearestCentroid,Amphet,48,28,5,31
54,NearestCentroid,Amphet,49,26,11,26
55,NearestCentroid,Amphet,45,30,11,26
56,NearestCentroid,Amphet,53,22,13,24
57,NearestCentroid,Amphet,49,26,6,30
58,NearestCentroid,Amphet,51,24,9,27
59,NearestCentroid,Amphet,52,23,15,21
60,NearestCentroid,Amyl,55,46,6,5
61,NearestCentroid,Amyl,51,50,4,7
62,NearestCentroid,Amyl,61,40,3,8
63,NearestCentroid,Amyl,64,36,6,6
64,NearestCentroid,Amyl,54,46,2,10
65,NearestCentroid,Amyl,54,46,2,10
66,NearestCentroid,Amyl,57,43,6,6
67,NearestCentroid,Amyl,59,41,5,6
68,NearestCentroid,Amyl,64,36,6,5
69,NearestCentroid,Amyl,57,43,4,7
70,NearestCentroid,Amyl,52,49,3,8
71,NearestCentroid,Amyl,63,38,5,6
72,NearestCentroid,Amyl,62,39,2,9
73,NearestCentroid,Amyl,52,48,5,7
74,NearestCentroid,Amyl,52,48,4,8
75,NearestCentroid,Amyl,63,37,6,6
76,NearestCentroid,Amyl,59,41,7,5
77,NearestCentroid,Amyl,52,48,3,8
78,NearestCentroid,Amyl,65,35,5,6
79,NearestCentroid,Amyl,50,50,4,7
80,NearestCentroid,Amyl,57,44,6,5
81,NearestCentroid,Amyl,54,47,2,9
82,NearestCentroid,Amyl,55,46,6,5
83,NearestCentroid,Amyl,50,50,5,7
84,NearestCentroid,Amyl,63,37,7,5
85,NearestCentroid,Amyl,67,33,5,7
86,NearestCentroid,Amyl,63,37,7,5
87,NearestCentroid,Amyl,55,45,3,8
88,NearestCentroid,Amyl,57,43,4,7
89,NearestCentroid,Amyl,49,51,1,10
90,NearestCentroid,Benzos,44,28,12,28
91,NearestCentroid,Benzos,48,24,14,26
92,NearestCentroid,Benzos,38,34,18,22
93,NearestCentroid,Benzos,38,34,12,28
94,NearestCentroid,Benzos,47,25,10,30
95,NearestCentroid,Benzos,48,24,11,29
96,NearestCentroid,Benzos,43,29,18,22
97,NearestCentroid,Benzos,50,22,14,25
98,NearestCentroid,Benzos,41,31,11,28
99,NearestCentroid,Benzos,44,28,15,24
100,NearestCentroid,Benzos,53,19,11,29
101,NearestCentroid,Benzos,42,30,16,24
102,NearestCentroid,Benzos,37,35,14,26
103,NearestCentroid,Benzos,46,26,9,31
104,NearestCentroid,Benzos,51,21,7,33
105,NearestCentroid,Benzos,45,27,16,24
106,NearestCentroid,Benzos,41,31,12,28
107,NearestCentroid,Benzos,42,30,17,22
108,NearestCentroid,Benzos,42,30,18,21
109,NearestCentroid,Benzos,42,30,11,28
110,NearestCentroid,Benzos,43,29,11,29
111,NearestCentroid,Benzos,47,25,19,21
112,NearestCentroid,Benzos,48,24,11,29
113,NearestCentroid,Benzos,45,27,10,30
114,NearestCentroid,Benzos,38,34,11,29
115,NearestCentroid,Benzos,47,25,14,26
116,NearestCentroid,Benzos,42,30,13,27
117,NearestCentroid,Benzos,46,26,10,29
118,NearestCentroid,Benzos,46,26,17,22
119,NearestCentroid,Benzos,43,29,14,25
120,NearestCentroid,Caff,3,0,38,71
121,NearestCentroid,Caff,3,0,37,72
122,NearestCentroid,Caff,3,0,39,70
123,NearestCentroid,Caff,3,0,37,72
124,NearestCentroid,Caff,2,1,33,76
