,Model,Substância,Score
0,NearestCentroid,Alcohol,0.5130841121495326
1,NearestCentroid,Alcohol,0.594392523364486
2,NearestCentroid,Alcohol,0.6271028037383177
3,NearestCentroid,Alcohol,0.7897196261682242
4,NearestCentroid,Alcohol,0.5566037735849056
5,NearestCentroid,Alcohol,0.6399371069182389
6,NearestCentroid,Alcohol,0.36163522012578614
7,NearestCentroid,Alcohol,0.41603773584905657
8,NearestCentroid,Alcohol,0.5066037735849056
9,NearestCentroid,Alcohol,0.6396226415094339
10,NearestCentroid,Alcohol,0.508411214953271
11,NearestCentroid,Alcohol,0.7317757009345794
12,NearestCentroid,Alcohol,0.6037383177570093
13,NearestCentroid,Alcohol,0.4850467289719626
14,NearestCentroid,Alcohol,0.6682389937106918
15,NearestCentroid,Alcohol,0.49213836477987416
16,NearestCentroid,Alcohol,0.4732704402515723
17,NearestCentroid,Alcohol,0.5783018867924528
18,NearestCentroid,Alcohol,0.6160377358490565
19,NearestCentroid,Alcohol,0.4688679245283019
20,NearestCentroid,Alcohol,0.622429906542056
21,NearestCentroid,Alcohol,0.40841121495327104
22,NearestCentroid,Alcohol,0.5037383177570094
23,NearestCentroid,Alcohol,0.41308411214953267
24,NearestCentroid,Alcohol,0.5927672955974843
25,NearestCentroid,Alcohol,0.3993710691823899
26,NearestCentroid,Alcohol,0.7594339622641509
27,NearestCentroid,Alcohol,0.5207547169811321
28,NearestCentroid,Alcohol,0.6490566037735849
29,NearestCentroid,Alcohol,0.620754716981132
30,GaussianNB,Alcohol,0.5
31,GaussianNB,Alcohol,0.5
32,GaussianNB,Alcohol,0.5
33,GaussianNB,Alcohol,0.5
34,GaussianNB,Alcohol,0.5
35,GaussianNB,Alcohol,0.5
36,GaussianNB,Alcohol,0.5
37,GaussianNB,Alcohol,0.5
38,GaussianNB,Alcohol,0.5
39,GaussianNB,Alcohol,0.5
40,GaussianNB,Alcohol,0.5
41,GaussianNB,Alcohol,0.5
42,GaussianNB,Alcohol,0.5
43,GaussianNB,Alcohol,0.5
44,GaussianNB,Alcohol,0.5
45,GaussianNB,Alcohol,0.5
46,GaussianNB,Alcohol,0.5
47,GaussianNB,Alcohol,0.5
48,GaussianNB,Alcohol,0.5
49,GaussianNB,Alcohol,0.5
50,GaussianNB,Alcohol,0.4953271028037383
51,GaussianNB,Alcohol,0.5
52,GaussianNB,Alcohol,0.5
53,GaussianNB,Alcohol,0.5
54,GaussianNB,Alcohol,0.5
55,GaussianNB,Alcohol,0.5
56,GaussianNB,Alcohol,0.5
57,GaussianNB,Alcohol,0.5
58,GaussianNB,Alcohol,0.5
59,GaussianNB,Alcohol,0.5
60,BernoulliNB,Alcohol,0.5
