,Model,Substância,cm_0,cm_1,cm_2,cm_3
0,NearestCentroid,Alcohol,4,3,70,111
1,NearestCentroid,Alcohol,6,1,65,116
2,NearestCentroid,Alcohol,5,2,64,117
3,NearestCentroid,Alcohol,4,3,67,114
4,NearestCentroid,Alcohol,6,1,78,103
5,NearestCentroid,Alcohol,4,3,61,120
6,NearestCentroid,Alcohol,4,3,57,124
7,NearestCentroid,Alcohol,2,4,64,117
8,NearestCentroid,Alcohol,3,3,63,118
9,NearestCentroid,Alcohol,5,1,79,102
10,NearestCentroid,Alcohol,4,3,64,117
11,NearestCentroid,Alcohol,6,1,71,110
12,NearestCentroid,Alcohol,7,0,69,112
13,NearestCentroid,Alcohol,3,4,74,107
14,NearestCentroid,Alcohol,5,2,84,97
15,NearestCentroid,Alcohol,4,3,62,119
16,NearestCentroid,Alcohol,5,2,68,113
17,NearestCentroid,Alcohol,3,3,62,119
18,NearestCentroid,Alcohol,3,3,53,128
19,NearestCentroid,Alcohol,2,4,68,113
20,NearestCentroid,Alcohol,5,2,57,124
21,NearestCentroid,Alcohol,4,3,69,112
22,NearestCentroid,Alcohol,4,3,79,102
23,NearestCentroid,Alcohol,5,2,65,116
24,NearestCentroid,Alcohol,5,2,65,116
25,NearestCentroid,Alcohol,4,3,78,103
26,NearestCentroid,Alcohol,2,5,61,120
27,NearestCentroid,Alcohol,5,1,69,112
28,NearestCentroid,Alcohol,4,2,57,124
29,NearestCentroid,Alcohol,5,1,74,107
30,NearestCentroid,Amphet,80,40,14,54
31,NearestCentroid,Amphet,83,37,19,49
32,NearestCentroid,Amphet,85,35,17,51
33,NearestCentroid,Amphet,80,40,21,47
34,NearestCentroid,Amphet,87,34,17,50
35,NearestCentroid,Amphet,76,45,19,48
36,NearestCentroid,Amphet,79,42,17,50
37,NearestCentroid,Amphet,84,36,23,44
38,NearestCentroid,Amphet,95,25,20,47
39,NearestCentroid,Amphet,79,41,17,50
40,NearestCentroid,Amphet,90,30,17,51
41,NearestCentroid,Amphet,79,41,24,44
42,NearestCentroid,Amphet,81,39,12,56
43,NearestCentroid,Amphet,87,33,23,45
44,NearestCentroid,Amphet,83,38,17,50
45,NearestCentroid,Amphet,82,39,23,44
46,NearestCentroid,Amphet,75,46,18,49
47,NearestCentroid,Amphet,90,30,19,48
48,NearestCentroid,Amphet,78,42,17,50
49,NearestCentroid,Amphet,80,40,19,48
50,NearestCentroid,Amphet,83,37,13,55
51,NearestCentroid,Amphet,87,33,16,52
52,NearestCentroid,Amphet,78,42,19,49
53,NearestCentroid,Amphet,87,33,15,53
54,NearestCentroid,Amphet,81,40,18,49
55,NearestCentroid,Amphet,88,33,17,50
56,NearestCentroid,Amphet,88,33,19,48
57,NearestCentroid,Amphet,81,39,26,41
58,NearestCentroid,Amphet,77,43,20,47
59,NearestCentroid,Amphet,77,43,22,45
60,NearestCentroid,Amyl,92,59,14,23
61,NearestCentroid,Amyl,89,62,13,24
62,NearestCentroid,Amyl,80,71,16,21
63,NearestCentroid,Amyl,90,61,13,24
64,NearestCentroid,Amyl,98,53,9,28
65,NearestCentroid,Amyl,82,69,12,25
66,NearestCentroid,Amyl,87,64,17,20
67,NearestCentroid,Amyl,93,58,13,23
68,NearestCentroid,Amyl,95,56,11,25
69,NearestCentroid,Amyl,98,52,13,24
70,NearestCentroid,Amyl,93,58,8,29
71,NearestCentroid,Amyl,98,53,17,20
72,NearestCentroid,Amyl,91,60,9,28
73,NearestCentroid,Amyl,94,57,8,29
74,NearestCentroid,Amyl,87,64,18,19
75,NearestCentroid,Amyl,85,66,14,23
76,NearestCentroid,Amyl,84,67,16,21
77,NearestCentroid,Amyl,92,59,11,25
78,NearestCentroid,Amyl,86,65,13,23
79,NearestCentroid,Amyl,91,59,16,21
80,NearestCentroid,Amyl,96,55,18,19
81,NearestCentroid,Amyl,81,70,16,21
82,NearestCentroid,Amyl,96,55,13,24
83,NearestCentroid,Amyl,89,62,16,21
84,NearestCentroid,Amyl,95,56,11,26
85,NearestCentroid,Amyl,86,65,9,28
86,NearestCentroid,Amyl,82,69,12,25
87,NearestCentroid,Amyl,90,61,14,22
88,NearestCentroid,Amyl,101,50,12,24
89,NearestCentroid,Amyl,86,64,11,26
90,NearestCentroid,Benzos,76,35,31,46
91,NearestCentroid,Benzos,82,29,27,50
92,NearestCentroid,Benzos,78,34,26,50
93,NearestCentroid,Benzos,66,46,21,55
94,NearestCentroid,Benzos,77,35,24,52
95,NearestCentroid,Benzos,74,38,24,52
96,NearestCentroid,Benzos,74,38,19,57
97,NearestCentroid,Benzos,69,42,19,57
98,NearestCentroid,Benzos,73,38,29,47
99,NearestCentroid,Benzos,63,48,23,53
100,NearestCentroid,Benzos,79,32,21,56
101,NearestCentroid,Benzos,80,31,34,43
102,NearestCentroid,Benzos,67,45,15,61
103,NearestCentroid,Benzos,74,38,20,56
104,NearestCentroid,Benzos,76,36,23,53
105,NearestCentroid,Benzos,70,42,30,46
106,NearestCentroid,Benzos,67,45,25,51
107,NearestCentroid,Benzos,81,30,27,49
108,NearestCentroid,Benzos,69,42,23,53
109,NearestCentroid,Benzos,64,47,27,49
110,NearestCentroid,Benzos,63,48,33,44
111,NearestCentroid,Benzos,69,42,27,50
112,NearestCentroid,Benzos,80,32,30,46
113,NearestCentroid,Benzos,79,33,21,55
114,NearestCentroid,Benzos,70,42,27,49
115,NearestCentroid,Benzos,72,40,26,50
116,NearestCentroid,Benzos,71,41,16,60
117,NearestCentroid,Benzos,81,30,23,53
118,NearestCentroid,Benzos,73,38,20,56
119,NearestCentroid,Benzos,74,37,22,54
120,NearestCentroid,Caff,2,2,69,115
121,NearestCentroid,Caff,4,0,68,116
122,NearestCentroid,Caff,4,0,65,119
123,NearestCentroid,Caff,3,1,73,111
124,NearestCentroid,Caff,2,2,57,127
125,NearestCentroid,Caff,1,3,55,129
126,NearestCentroid,Caff,3,1,64,120
127,NearestCentroid,Caff,3,0,70,114
128,NearestCentroid,Caff,2,1,69,115
129,NearestCentroid,Caff,1,2,66,118
130,NearestCentroid,Caff,3,1,64,120
131,NearestCentroid,Caff,2,2,53,131
132,NearestCentroid,Caff,0,4,67,117
133,NearestCentroid,Caff,3,1,68,116
134,NearestCentroid,Caff,1,3,61,123
135,NearestCentroid,Caff,4,0,67,117
136,NearestCentroid,Caff,4,0,68,116
137,NearestCentroid,Caff,3,0,69,115
138,NearestCentroid,Caff,3,0,72,112
139,NearestCentroid,Caff,2,1,60,124
140,NearestCentroid,Caff,0,4,58,126
141,NearestCentroid,Caff,3,1,67,117
142,NearestCentroid,Caff,2,2,70,114
143,NearestCentroid,Caff,4,0,67,117
144,NearestCentroid,Caff,3,1,64,120
145,NearestCentroid,Caff,4,0,68,116
146,NearestCentroid,Caff,2,2,70,114
147,NearestCentroid,Caff,3,0,65,119
148,NearestCentroid,Caff,2,1,61,123
149,NearestCentroid,Caff,3,0,57,127
150,NearestCentroid,Cannabis,52,10,27,99
151,NearestCentroid,Cannabis,47,15,30,96
152,NearestCentroid,Cannabis,41,21,24,102
153,NearestCentroid,Cannabis,56,6,37,89
154,NearestCentroid,Cannabis,48,14,33,93
155,NearestCentroid,Cannabis,49,13,33,93
156,NearestCentroid,Cannabis,44,18,29,97
157,NearestCentroid,Cannabis,49,13,25,100
158,NearestCentroid,Cannabis,50,12,37,88
159,NearestCentroid,Cannabis,51,11,27,98
160,NearestCentroid,Cannabis,46,16,28,98
161,NearestCentroid,Cannabis,47,15,26,100
162,NearestCentroid,Cannabis,49,13,25,101
163,NearestCentroid,Cannabis,50,12,29,97
164,NearestCentroid,Cannabis,52,10,37,89
165,NearestCentroid,Cannabis,46,16,26,100
166,NearestCentroid,Cannabis,45,17,30,96
167,NearestCentroid,Cannabis,47,15,35,90
168,NearestCentroid,Cannabis,50,12,37,88
169,NearestCentroid,Cannabis,55,7,30,95
170,NearestCentroid,Cannabis,50,12,24,102
171,NearestCentroid,Cannabis,44,18,31,95
172,NearestCentroid,Cannabis,47,15,28,98
173,NearestCentroid,Cannabis,48,14,34,92
174,NearestCentroid,Cannabis,47,15,28,98
175,NearestCentroid,Cannabis,47,15,25,101
176,NearestCentroid,Cannabis,52,10,30,96
177,NearestCentroid,Cannabis,53,9,32,93
178,NearestCentroid,Cannabis,47,15,39,86
179,NearestCentroid,Cannabis,53,9,34,91
180,NearestCentroid,Choc,2,1,69,116
181,NearestCentroid,Choc,1,2,78,107
182,NearestCentroid,Choc,0,3,85,100
183,NearestCentroid,Choc,2,2,70,114
184,NearestCentroid,Choc,1,3,66,118
185,NearestCentroid,Choc,1,3,82,102
