,Model,Substância,Score
0,NearestCentroid,Alcohol,0.5923441199684294
1,NearestCentroid,Alcohol,0.7490134175217048
2,NearestCentroid,Alcohol,0.68034727703236
3,NearestCentroid,Alcohol,0.6006314127861089
4,NearestCentroid,Alcohol,0.7131018153117601
5,NearestCentroid,Alcohol,0.617205998421468
6,NearestCentroid,Alcohol,0.6282557221783741
7,NearestCentroid,Alcohol,0.4898710865561694
8,NearestCentroid,Alcohol,0.5759668508287292
9,NearestCentroid,Alcohol,0.6984346224677717
10,NearestCentroid,Alcohol,0.6089187056037885
11,NearestCentroid,Alcohol,0.7324388318863457
12,NearestCentroid,Alcohol,0.8093922651933702
13,NearestCentroid,Alcohol,0.5098658247829518
14,NearestCentroid,Alcohol,0.6250986582478295
15,NearestCentroid,Alcohol,0.6144435674822415
16,NearestCentroid,Alcohol,0.6692975532754538
17,NearestCentroid,Alcohol,0.5787292817679558
18,NearestCentroid,Alcohol,0.6035911602209945
19,NearestCentroid,Alcohol,0.47882136279926335
20,NearestCentroid,Alcohol,0.6996842936069456
21,NearestCentroid,Alcohol,0.5951065509076559
22,NearestCentroid,Alcohol,0.5674822415153906
23,NearestCentroid,Alcohol,0.6775848460931334
24,NearestCentroid,Alcohol,0.6775848460931334
25,NearestCentroid,Alcohol,0.5702446724546172
26,NearestCentroid,Alcohol,0.47434885556432516
27,NearestCentroid,Alcohol,0.7260589318600368
28,NearestCentroid,Alcohol,0.6758747697974217
29,NearestCentroid,Alcohol,0.7122467771639043
30,GaussianNB,Alcohol,0.4972375690607735
31,GaussianNB,Alcohol,0.5
32,GaussianNB,Alcohol,0.5
33,GaussianNB,Alcohol,0.4972375690607735
34,GaussianNB,Alcohol,0.5
35,GaussianNB,Alcohol,0.5
36,GaussianNB,Alcohol,0.5
37,GaussianNB,Alcohol,0.5
38,GaussianNB,Alcohol,0.4972375690607735
39,GaussianNB,Alcohol,0.5805709023941068
40,GaussianNB,Alcohol,0.5
41,GaussianNB,Alcohol,0.5714285714285714
42,GaussianNB,Alcohol,0.4972375690607735
43,GaussianNB,Alcohol,0.5
44,GaussianNB,Alcohol,0.4972375690607735
45,GaussianNB,Alcohol,0.5
46,GaussianNB,Alcohol,0.5
47,GaussianNB,Alcohol,0.5
48,GaussianNB,Alcohol,0.5
49,GaussianNB,Alcohol,0.5
50,GaussianNB,Alcohol,0.5
51,GaussianNB,Alcohol,0.5686661404893449
52,GaussianNB,Alcohol,0.5
53,GaussianNB,Alcohol,0.4972375690607735
54,GaussianNB,Alcohol,0.4972375690607735
55,GaussianNB,Alcohol,0.5
56,GaussianNB,Alcohol,0.5
57,GaussianNB,Alcohol,0.5
58,GaussianNB,Alcohol,0.4972375690607735
59,GaussianNB,Alcohol,0.494475138121547
60,BernoulliNB,Alcohol,0.5
61,BernoulliNB,Alcohol,0.5
62,BernoulliNB,Alcohol,0.5
63,BernoulliNB,Alcohol,0.5
64,BernoulliNB,Alcohol,0.5
65,BernoulliNB,Alcohol,0.5
66,BernoulliNB,Alcohol,0.5
67,BernoulliNB,Alcohol,0.5
68,BernoulliNB,Alcohol,0.5
69,BernoulliNB,Alcohol,0.5
70,BernoulliNB,Alcohol,0.5
71,BernoulliNB,Alcohol,0.5
72,BernoulliNB,Alcohol,0.5
73,BernoulliNB,Alcohol,0.5
74,BernoulliNB,Alcohol,0.5
75,BernoulliNB,Alcohol,0.5
76,BernoulliNB,Alcohol,0.5
77,BernoulliNB,Alcohol,0.5
78,BernoulliNB,Alcohol,0.5
79,BernoulliNB,Alcohol,0.5
80,BernoulliNB,Alcohol,0.5
81,BernoulliNB,Alcohol,0.5
82,BernoulliNB,Alcohol,0.5
83,BernoulliNB,Alcohol,0.5
84,BernoulliNB,Alcohol,0.5
85,BernoulliNB,Alcohol,0.5
86,BernoulliNB,Alcohol,0.5
87,BernoulliNB,Alcohol,0.5
88,BernoulliNB,Alcohol,0.5
89,BernoulliNB,Alcohol,0.5
90,RandomForestClassifier,Alcohol,0.5
91,RandomForestClassifier,Alcohol,0.5
92,RandomForestClassifier,Alcohol,0.5
93,RandomForestClassifier,Alcohol,0.5
94,RandomForestClassifier,Alcohol,0.5
95,RandomForestClassifier,Alcohol,0.5
96,RandomForestClassifier,Alcohol,0.5
97,RandomForestClassifier,Alcohol,0.5
98,RandomForestClassifier,Alcohol,0.5
99,RandomForestClassifier,Alcohol,0.5
100,RandomForestClassifier,Alcohol,0.5
101,RandomForestClassifier,Alcohol,0.5
102,RandomForestClassifier,Alcohol,0.5
103,RandomForestClassifier,Alcohol,0.5
104,RandomForestClassifier,Alcohol,0.5
105,RandomForestClassifier,Alcohol,0.5
106,RandomForestClassifier,Alcohol,0.5
107,RandomForestClassifier,Alcohol,0.5
108,RandomForestClassifier,Alcohol,0.5
109,RandomForestClassifier,Alcohol,0.5
110,RandomForestClassifier,Alcohol,0.5
111,RandomForestClassifier,Alcohol,0.5
112,RandomForestClassifier,Alcohol,0.5
113,RandomForestClassifier,Alcohol,0.5
114,RandomForestClassifier,Alcohol,0.5
115,RandomForestClassifier,Alcohol,0.5
116,RandomForestClassifier,Alcohol,0.5
117,RandomForestClassifier,Alcohol,0.5
118,RandomForestClassifier,Alcohol,0.5
119,RandomForestClassifier,Alcohol,0.5
120,KNeighborsClassifier,Alcohol,0.5
