,Model,Substância,cm_0,cm_1,cm_2,cm_3
0,NearestCentroid,Alcohol,4,3,78,103
1,NearestCentroid,Alcohol,5,2,82,99
2,NearestCentroid,Alcohol,3,4,75,106
3,NearestCentroid,Alcohol,5,2,74,107
4,NearestCentroid,Alcohol,6,1,71,110
5,NearestCentroid,Alcohol,4,3,73,108
6,NearestCentroid,Alcohol,3,4,56,125
7,NearestCentroid,Alcohol,5,1,68,113
8,NearestCentroid,Alcohol,2,4,74,107
9,NearestCentroid,Alcohol,4,2,66,115
10,NearestCentroid,Alcohol,4,3,58,123
11,NearestCentroid,Alcohol,5,2,75,106
12,NearestCentroid,Alcohol,5,2,73,108
13,NearestCentroid,Alcohol,5,2,67,114
14,NearestCentroid,Alcohol,4,3,72,109
15,NearestCentroid,Alcohol,4,3,81,100
16,NearestCentroid,Alcohol,3,4,67,114
17,NearestCentroid,Alcohol,4,2,76,105
18,NearestCentroid,Alcohol,3,3,78,103
19,NearestCentroid,Alcohol,3,3,76,105
20,NearestCentroid,Alcohol,6,1,71,110
21,NearestCentroid,Alcohol,1,6,78,103
22,NearestCentroid,Alcohol,4,3,68,113
23,NearestCentroid,Alcohol,5,2,73,108
24,NearestCentroid,Alcohol,4,3,67,114
25,NearestCentroid,Alcohol,4,3,80,101
26,NearestCentroid,Alcohol,5,2,83,98
27,NearestCentroid,Alcohol,4,2,73,108
28,NearestCentroid,Alcohol,5,1,68,113
29,NearestCentroid,Alcohol,3,3,62,119
30,NearestCentroid,Amphet,75,45,19,49
31,NearestCentroid,Amphet,76,44,16,52
32,NearestCentroid,Amphet,92,28,25,43
33,NearestCentroid,Amphet,86,34,16,52
34,NearestCentroid,Amphet,76,45,18,49
35,NearestCentroid,Amphet,82,39,19,48
36,NearestCentroid,Amphet,79,42,22,45
37,NearestCentroid,Amphet,82,38,18,49
38,NearestCentroid,Amphet,77,43,21,46
39,NearestCentroid,Amphet,76,44,23,44
40,NearestCentroid,Amphet,73,47,20,48
