,Model,Substância,Score
0,NearestCentroid,Alcohol,0.5702446724546172
1,NearestCentroid,Alcohol,0.6306235201262826
2,NearestCentroid,Alcohol,0.5071033938437253
3,NearestCentroid,Alcohol,0.6527229676400947
4,NearestCentroid,Alcohol,0.7324388318863457
5,NearestCentroid,Alcohol,0.5840568271507498
6,NearestCentroid,Alcohol,0.5595895816890292
7,NearestCentroid,Alcohol,0.7288213627992634
8,NearestCentroid,Alcohol,0.4622467771639043
9,NearestCentroid,Alcohol,0.6510128913443831
10,NearestCentroid,Alcohol,0.6254932912391475
11,NearestCentroid,Alcohol,0.6499605367008682
12,NearestCentroid,Alcohol,0.6554853985793212
13,NearestCentroid,Alcohol,0.6720599842146804
14,NearestCentroid,Alcohol,0.5868192580899763
15,NearestCentroid,Alcohol,0.5619573796369377
16,NearestCentroid,Alcohol,0.5292028413575375
17,NearestCentroid,Alcohol,0.6233885819521179
18,NearestCentroid,Alcohol,0.5345303867403315
19,NearestCentroid,Alcohol,0.5400552486187845
20,NearestCentroid,Alcohol,0.7324388318863457
21,NearestCentroid,Alcohol,0.3559589581689029
22,NearestCentroid,Alcohol,0.5978689818468823
23,NearestCentroid,Alcohol,0.6554853985793212
24,NearestCentroid,Alcohol,0.6006314127861089
25,NearestCentroid,Alcohol,0.5647198105761642
26,NearestCentroid,Alcohol,0.627861089187056
27,NearestCentroid,Alcohol,0.6316758747697975
28,NearestCentroid,Alcohol,0.7288213627992634
29,NearestCentroid,Alcohol,0.5787292817679558
30,GaussianNB,Alcohol,0.5
31,GaussianNB,Alcohol,0.5
32,GaussianNB,Alcohol,0.5
33,GaussianNB,Alcohol,0.5
34,GaussianNB,Alcohol,0.5
35,GaussianNB,Alcohol,0.5
36,GaussianNB,Alcohol,0.5
37,GaussianNB,Alcohol,0.5
38,GaussianNB,Alcohol,0.5
39,GaussianNB,Alcohol,0.5
40,GaussianNB,Alcohol,0.5
41,GaussianNB,Alcohol,0.5
42,GaussianNB,Alcohol,0.5
43,GaussianNB,Alcohol,0.5
44,GaussianNB,Alcohol,0.5
45,GaussianNB,Alcohol,0.5
46,GaussianNB,Alcohol,0.5
47,GaussianNB,Alcohol,0.5
48,GaussianNB,Alcohol,0.5
49,GaussianNB,Alcohol,0.5
50,GaussianNB,Alcohol,0.5
51,GaussianNB,Alcohol,0.5
52,GaussianNB,Alcohol,0.5
53,GaussianNB,Alcohol,0.5
54,GaussianNB,Alcohol,0.5
55,GaussianNB,Alcohol,0.5
56,GaussianNB,Alcohol,0.5
57,GaussianNB,Alcohol,0.5
58,GaussianNB,Alcohol,0.5
59,GaussianNB,Alcohol,0.5
60,BernoulliNB,Alcohol,0.5
61,BernoulliNB,Alcohol,0.5
62,BernoulliNB,Alcohol,0.5
63,BernoulliNB,Alcohol,0.5
64,BernoulliNB,Alcohol,0.5
65,BernoulliNB,Alcohol,0.5
66,BernoulliNB,Alcohol,0.5
67,BernoulliNB,Alcohol,0.5
68,BernoulliNB,Alcohol,0.5
69,BernoulliNB,Alcohol,0.5
70,BernoulliNB,Alcohol,0.5
71,BernoulliNB,Alcohol,0.5
72,BernoulliNB,Alcohol,0.5
73,BernoulliNB,Alcohol,0.5
74,BernoulliNB,Alcohol,0.5
75,BernoulliNB,Alcohol,0.5
76,BernoulliNB,Alcohol,0.5
77,BernoulliNB,Alcohol,0.5
78,BernoulliNB,Alcohol,0.5
79,BernoulliNB,Alcohol,0.5
80,BernoulliNB,Alcohol,0.5
81,BernoulliNB,Alcohol,0.5
82,BernoulliNB,Alcohol,0.5
83,BernoulliNB,Alcohol,0.5
84,BernoulliNB,Alcohol,0.5
85,BernoulliNB,Alcohol,0.5
86,BernoulliNB,Alcohol,0.5
87,BernoulliNB,Alcohol,0.5
88,BernoulliNB,Alcohol,0.5
89,BernoulliNB,Alcohol,0.5
90,RandomForestClassifier,Alcohol,0.5
91,RandomForestClassifier,Alcohol,0.5
92,RandomForestClassifier,Alcohol,0.5
93,RandomForestClassifier,Alcohol,0.5
94,RandomForestClassifier,Alcohol,0.5
95,RandomForestClassifier,Alcohol,0.5
96,RandomForestClassifier,Alcohol,0.5
97,RandomForestClassifier,Alcohol,0.5
98,RandomForestClassifier,Alcohol,0.5
99,RandomForestClassifier,Alcohol,0.5
100,RandomForestClassifier,Alcohol,0.5
101,RandomForestClassifier,Alcohol,0.5
102,RandomForestClassifier,Alcohol,0.5
103,RandomForestClassifier,Alcohol,0.5
104,RandomForestClassifier,Alcohol,0.5
105,RandomForestClassifier,Alcohol,0.5
106,RandomForestClassifier,Alcohol,0.5
107,RandomForestClassifier,Alcohol,0.5
108,RandomForestClassifier,Alcohol,0.5
109,RandomForestClassifier,Alcohol,0.5
110,RandomForestClassifier,Alcohol,0.5
111,RandomForestClassifier,Alcohol,0.5
112,RandomForestClassifier,Alcohol,0.5
113,RandomForestClassifier,Alcohol,0.5
114,RandomForestClassifier,Alcohol,0.5
115,RandomForestClassifier,Alcohol,0.5
116,RandomForestClassifier,Alcohol,0.5
117,RandomForestClassifier,Alcohol,0.5
118,RandomForestClassifier,Alcohol,0.5
119,RandomForestClassifier,Alcohol,0.5
120,KNeighborsClassifier,Alcohol,0.5
121,KNeighborsClassifier,Alcohol,0.5
122,KNeighborsClassifier,Alcohol,0.5
123,KNeighborsClassifier,Alcohol,0.5
124,KNeighborsClassifier,Alcohol,0.5
125,KNeighborsClassifier,Alcohol,0.5
126,KNeighborsClassifier,Alcohol,0.5
127,KNeighborsClassifier,Alcohol,0.5
128,KNeighborsClassifier,Alcohol,0.4972375690607735
129,KNeighborsClassifier,Alcohol,0.5
130,KNeighborsClassifier,Alcohol,0.5
131,KNeighborsClassifier,Alcohol,0.5
132,KNeighborsClassifier,Alcohol,0.5
133,KNeighborsClassifier,Alcohol,0.5
134,KNeighborsClassifier,Alcohol,0.4972375690607735
135,KNeighborsClassifier,Alcohol,0.5
136,KNeighborsClassifier,Alcohol,0.4972375690607735
137,KNeighborsClassifier,Alcohol,0.5
138,KNeighborsClassifier,Alcohol,0.5
139,KNeighborsClassifier,Alcohol,0.5
140,KNeighborsClassifier,Alcohol,0.5
141,KNeighborsClassifier,Alcohol,0.5
142,KNeighborsClassifier,Alcohol,0.5
143,KNeighborsClassifier,Alcohol,0.5
144,KNeighborsClassifier,Alcohol,0.5
145,KNeighborsClassifier,Alcohol,0.5
146,KNeighborsClassifier,Alcohol,0.5
147,KNeighborsClassifier,Alcohol,0.5
148,KNeighborsClassifier,Alcohol,0.5
149,KNeighborsClassifier,Alcohol,0.4972375690607735
150,NearestCentroid,Amphet,0.6727941176470589
151,NearestCentroid,Amphet,0.6990196078431372
152,NearestCentroid,Amphet,0.6995098039215686
153,NearestCentroid,Amphet,0.740686274509804
154,NearestCentroid,Amphet,0.6797212285679043
155,NearestCentroid,Amphet,0.6970519304304921
156,NearestCentroid,Amphet,0.6622671765141237
157,NearestCentroid,Amphet,0.7073383084577114
158,NearestCentroid,Amphet,0.6641169154228856
159,NearestCentroid,Amphet,0.6450248756218906
160,NearestCentroid,Amphet,0.6571078431372549
161,NearestCentroid,Amphet,0.6776960784313726
162,NearestCentroid,Amphet,0.7323529411764705
163,NearestCentroid,Amphet,0.7041666666666666
164,NearestCentroid,Amphet,0.6506722585420007
165,NearestCentroid,Amphet,0.7037128407549031
166,NearestCentroid,Amphet,0.6929196990255335
167,NearestCentroid,Amphet,0.7031716417910447
168,NearestCentroid,Amphet,0.6143034825870647
169,NearestCentroid,Amphet,0.6990049751243781
170,NearestCentroid,Amphet,0.7438725490196079
171,NearestCentroid,Amphet,0.6977941176470588
172,NearestCentroid,Amphet,0.6769607843137255
173,NearestCentroid,Amphet,0.6779411764705883
174,NearestCentroid,Amphet,0.690514370297274
175,NearestCentroid,Amphet,0.6366720118416184
176,NearestCentroid,Amphet,0.7342420130751203
177,NearestCentroid,Amphet,0.7090796019900498
178,NearestCentroid,Amphet,0.679912935323383
179,NearestCentroid,Amphet,0.5952114427860696
180,GaussianNB,Amphet,0.6627450980392158
181,GaussianNB,Amphet,0.7078431372549019
182,GaussianNB,Amphet,0.6588235294117647
183,GaussianNB,Amphet,0.6242647058823529
184,GaussianNB,Amphet,0.6305661773775749
185,GaussianNB,Amphet,0.6818798569137783
186,GaussianNB,Amphet,0.6588133711607254
187,GaussianNB,Amphet,0.6271766169154229
188,GaussianNB,Amphet,0.6521766169154228
189,GaussianNB,Amphet,0.6974502487562189
190,GaussianNB,Amphet,0.6688725490196079
191,GaussianNB,Amphet,0.6272058823529412
192,GaussianNB,Amphet,0.6973039215686274
193,GaussianNB,Amphet,0.6681372549019607
194,GaussianNB,Amphet,0.6570864684840261
195,GaussianNB,Amphet,0.575120266436413
196,GaussianNB,Amphet,0.719316639940792
197,GaussianNB,Amphet,0.6570273631840795
198,GaussianNB,Amphet,0.6686567164179105
199,GaussianNB,Amphet,0.6294154228855722
200,GaussianNB,Amphet,0.6720588235294118
201,GaussianNB,Amphet,0.6019607843137255
202,GaussianNB,Amphet,0.6355392156862745
203,GaussianNB,Amphet,0.6627450980392158
204,GaussianNB,Amphet,0.693598125077094
205,GaussianNB,Amphet,0.6586900209695326
206,GaussianNB,Amphet,0.66387072899963
207,GaussianNB,Amphet,0.6403606965174129
208,GaussianNB,Amphet,0.7208955223880598
209,GaussianNB,Amphet,0.6636194029850746
210,BernoulliNB,Amphet,0.6889705882352941
211,BernoulliNB,Amphet,0.6970588235294117
212,BernoulliNB,Amphet,0.5977941176470588
213,BernoulliNB,Amphet,0.6928921568627451
214,BernoulliNB,Amphet,0.5883187368940421
215,BernoulliNB,Amphet,0.6413593191069447
216,BernoulliNB,Amphet,0.649623781916862
217,BernoulliNB,Amphet,0.6094527363184079
218,BernoulliNB,Amphet,0.6546019900497513
219,BernoulliNB,Amphet,0.6410447761194029
220,BernoulliNB,Amphet,0.5693627450980392
221,BernoulliNB,Amphet,0.6144607843137255
222,BernoulliNB,Amphet,0.6740196078431373
223,BernoulliNB,Amphet,0.6463235294117647
224,BernoulliNB,Amphet,0.6580115949179721
225,BernoulliNB,Amphet,0.6529542370790675
226,BernoulliNB,Amphet,0.6637473788084371
227,BernoulliNB,Amphet,0.6245646766169155
228,BernoulliNB,Amphet,0.6669154228855722
229,BernoulliNB,Amphet,0.6629353233830846
230,BernoulliNB,Amphet,0.6637254901960784
231,BernoulliNB,Amphet,0.6303921568627451
232,BernoulliNB,Amphet,0.6595588235294118
233,BernoulliNB,Amphet,0.6794117647058824
234,BernoulliNB,Amphet,0.6877389909954361
235,BernoulliNB,Amphet,0.6580115949179721
236,BernoulliNB,Amphet,0.6140372517577402
237,BernoulliNB,Amphet,0.5846393034825871
238,BernoulliNB,Amphet,0.583955223880597
239,BernoulliNB,Amphet,0.677860696517413
240,RandomForestClassifier,Amphet,0.6762254901960785
241,RandomForestClassifier,Amphet,0.6122549019607844
242,RandomForestClassifier,Amphet,0.713970588235294
