,Model,Substância,cm_0,cm_1,cm_2,cm_3,cm_4,cm_5,cm_6,cm_7,cm_8
0,NearestCentroid,Alcohol,4,1,2,7,12,7,50,47,58
1,NearestCentroid,Alcohol,4,2,1,9,11,6,43,41,71
2,NearestCentroid,Alcohol,4,1,2,5,17,4,53,51,51
3,NearestCentroid,Alcohol,3,4,0,6,13,7,56,44,55
4,NearestCentroid,Alcohol,4,1,2,10,6,10,48,42,65
5,NearestCentroid,Alcohol,5,2,0,9,10,8,55,45,54
6,NearestCentroid,Alcohol,4,2,1,10,10,7,59,38,57
7,NearestCentroid,Alcohol,3,1,2,6,13,8,47,46,61
8,NearestCentroid,Alcohol,4,2,0,7,12,8,51,49,54
9,NearestCentroid,Alcohol,3,2,1,11,10,6,57,46,51
10,NearestCentroid,Alcohol,2,2,3,8,11,7,49,54,52
11,NearestCentroid,Alcohol,1,4,2,5,10,11,50,43,62
12,NearestCentroid,Alcohol,4,3,0,9,10,7,52,40,63
13,NearestCentroid,Alcohol,7,0,0,13,8,5,62,41,52
14,NearestCentroid,Alcohol,4,2,1,7,14,5,50,50,55
15,NearestCentroid,Alcohol,5,0,2,7,17,3,56,39,59
16,NearestCentroid,Alcohol,7,0,0,3,12,12,51,30,73
17,NearestCentroid,Alcohol,1,4,1,10,9,8,47,50,57
18,NearestCentroid,Alcohol,6,0,0,9,10,8,51,54,49
19,NearestCentroid,Alcohol,3,2,1,6,14,7,53,47,54
20,NearestCentroid,Alcohol,5,1,1,7,9,10,65,35,55
21,NearestCentroid,Alcohol,3,1,3,9,10,7,49,55,51
22,NearestCentroid,Alcohol,5,2,0,8,12,6,56,42,57
23,NearestCentroid,Alcohol,3,1,3,7,9,10,57,40,58
24,NearestCentroid,Alcohol,5,2,0,8,12,6,62,43,50
25,NearestCentroid,Alcohol,6,1,0,8,12,7,42,53,59
26,NearestCentroid,Alcohol,3,3,1,8,12,7,45,43,66
27,NearestCentroid,Alcohol,3,1,2,11,10,6,41,48,65
28,NearestCentroid,Alcohol,2,4,0,7,13,7,53,45,56
29,NearestCentroid,Alcohol,4,1,1,8,14,5,50,48,56
30,NearestCentroid,Amphet,82,17,21,9,18,17,5,5,14
31,NearestCentroid,Amphet,82,19,19,9,16,19,6,5,13
32,NearestCentroid,Amphet,71,18,31,10,14,20,4,6,14
33,NearestCentroid,Amphet,84,17,19,16,11,17,4,7,13
34,NearestCentroid,Amphet,85,17,18,13,14,17,3,11,10
35,NearestCentroid,Amphet,74,19,27,11,15,18,2,11,11
36,NearestCentroid,Amphet,85,20,15,20,16,8,4,7,13
37,NearestCentroid,Amphet,84,14,23,13,13,17,4,3,16
38,NearestCentroid,Amphet,75,26,20,12,14,17,6,7,10
39,NearestCentroid,Amphet,80,20,21,9,13,21,5,4,14
