,Model,Substância,cm_0,cm_1,cm_2,cm_3
0,NearestCentroid,Alcohol,7,0,67,114
1,NearestCentroid,Alcohol,2,5,58,123
2,NearestCentroid,Alcohol,4,3,68,113
3,NearestCentroid,Alcohol,4,3,71,110
4,NearestCentroid,Alcohol,5,2,72,109
5,NearestCentroid,Alcohol,4,3,58,123
6,NearestCentroid,Alcohol,6,1,78,103
7,NearestCentroid,Alcohol,5,1,64,117
8,NearestCentroid,Alcohol,3,3,80,101
9,NearestCentroid,Alcohol,3,3,59,122
10,NearestCentroid,Alcohol,3,4,66,115
11,NearestCentroid,Alcohol,3,4,74,107
12,NearestCentroid,Alcohol,5,2,69,112
13,NearestCentroid,Alcohol,6,1,66,115
14,NearestCentroid,Alcohol,6,1,59,122
15,NearestCentroid,Alcohol,4,3,80,101
16,NearestCentroid,Alcohol,5,2,74,107
17,NearestCentroid,Alcohol,2,4,62,119
18,NearestCentroid,Alcohol,5,1,64,117
19,NearestCentroid,Alcohol,4,2,58,123
20,NearestCentroid,Alcohol,3,4,80,101
21,NearestCentroid,Alcohol,5,2,63,118
22,NearestCentroid,Alcohol,6,1,55,126
23,NearestCentroid,Alcohol,4,3,60,121
24,NearestCentroid,Alcohol,4,3,74,107
25,NearestCentroid,Alcohol,3,4,54,127
26,NearestCentroid,Alcohol,5,2,75,106
27,NearestCentroid,Alcohol,5,1,66,115
28,NearestCentroid,Alcohol,4,2,82,99
29,NearestCentroid,Alcohol,4,2,62,119
30,NearestCentroid,Amphet,78,42,13,55
31,NearestCentroid,Amphet,86,34,17,51
32,NearestCentroid,Amphet,88,32,24,44
33,NearestCentroid,Amphet,86,34,15,53
34,NearestCentroid,Amphet,77,44,19,48
35,NearestCentroid,Amphet,83,38,18,49
36,NearestCentroid,Amphet,81,40,23,44
37,NearestCentroid,Amphet,84,36,17,50
38,NearestCentroid,Amphet,82,38,20,47
39,NearestCentroid,Amphet,78,42,22,45
40,NearestCentroid,Amphet,72,48,14,54
41,NearestCentroid,Amphet,84,36,17,51
42,NearestCentroid,Amphet,77,43,14,54
43,NearestCentroid,Amphet,82,38,17,51
44,NearestCentroid,Amphet,76,45,21,46
45,NearestCentroid,Amphet,96,25,24,43
46,NearestCentroid,Amphet,84,37,22,45
47,NearestCentroid,Amphet,84,36,20,47
48,NearestCentroid,Amphet,82,38,17,50
49,NearestCentroid,Amphet,89,31,19,48
50,NearestCentroid,Amphet,83,37,19,49
51,NearestCentroid,Amphet,78,42,20,48
52,NearestCentroid,Amphet,82,38,17,51
53,NearestCentroid,Amphet,86,34,16,52
54,NearestCentroid,Amphet,86,35,19,48
55,NearestCentroid,Amphet,78,43,24,43
56,NearestCentroid,Amphet,84,37,21,46
57,NearestCentroid,Amphet,81,39,11,56
58,NearestCentroid,Amphet,86,34,19,48
59,NearestCentroid,Amphet,78,42,18,49
60,NearestCentroid,Amyl,103,48,16,21
61,NearestCentroid,Amyl,87,64,17,20
62,NearestCentroid,Amyl,89,62,14,23
63,NearestCentroid,Amyl,89,62,11,26
64,NearestCentroid,Amyl,93,58,11,26
65,NearestCentroid,Amyl,93,58,17,20
66,NearestCentroid,Amyl,96,55,15,22
67,NearestCentroid,Amyl,85,66,8,28
68,NearestCentroid,Amyl,84,67,11,25
69,NearestCentroid,Amyl,81,69,11,26
70,NearestCentroid,Amyl,96,55,13,24
71,NearestCentroid,Amyl,92,59,10,27
72,NearestCentroid,Amyl,93,58,13,24
73,NearestCentroid,Amyl,91,60,12,25
74,NearestCentroid,Amyl,102,49,16,21
75,NearestCentroid,Amyl,82,69,12,25
76,NearestCentroid,Amyl,85,66,16,21
77,NearestCentroid,Amyl,87,64,11,25
78,NearestCentroid,Amyl,84,67,15,21
79,NearestCentroid,Amyl,90,60,16,21
80,NearestCentroid,Amyl,95,56,20,17
81,NearestCentroid,Amyl,89,62,9,28
82,NearestCentroid,Amyl,94,57,13,24
83,NearestCentroid,Amyl,94,57,12,25
84,NearestCentroid,Amyl,82,69,16,21
85,NearestCentroid,Amyl,93,58,11,26
86,NearestCentroid,Amyl,87,64,12,25
87,NearestCentroid,Amyl,85,66,10,26
88,NearestCentroid,Amyl,92,59,15,21
89,NearestCentroid,Amyl,90,60,15,22
90,NearestCentroid,Benzos,67,44,24,53
91,NearestCentroid,Benzos,61,50,29,48
92,NearestCentroid,Benzos,84,28,20,56
93,NearestCentroid,Benzos,78,34,21,55
94,NearestCentroid,Benzos,80,32,35,41
95,NearestCentroid,Benzos,68,44,27,49
96,NearestCentroid,Benzos,68,44,20,56
97,NearestCentroid,Benzos,77,34,18,58
98,NearestCentroid,Benzos,70,41,25,51
99,NearestCentroid,Benzos,74,37,26,50
100,NearestCentroid,Benzos,71,40,22,55
101,NearestCentroid,Benzos,63,48,28,49
102,NearestCentroid,Benzos,70,42,19,57
103,NearestCentroid,Benzos,79,33,30,46
