,Model,Substância,Score
0,NearestCentroid,Alcohol,0.8149171270718232
1,NearestCentroid,Alcohol,0.48263614838200475
2,NearestCentroid,Alcohol,0.5978689818468823
3,NearestCentroid,Alcohol,0.5895816890292028
4,NearestCentroid,Alcohol,0.6582478295185478
5,NearestCentroid,Alcohol,0.6254932912391475
6,NearestCentroid,Alcohol,0.7131018153117601
7,NearestCentroid,Alcohol,0.7398710865561695
8,NearestCentroid,Alcohol,0.5290055248618785
9,NearestCentroid,Alcohol,0.5870165745856354
10,NearestCentroid,Alcohol,0.531965272296764
11,NearestCentroid,Alcohol,0.5098658247829518
12,NearestCentroid,Alcohol,0.6665351223362272
13,NearestCentroid,Alcohol,0.7462509865824782
14,NearestCentroid,Alcohol,0.7655880031570639
15,NearestCentroid,Alcohol,0.5647198105761642
16,NearestCentroid,Alcohol,0.6527229676400947
17,NearestCentroid,Alcohol,0.4953959484346224
18,NearestCentroid,Alcohol,0.7398710865561695
19,NearestCentroid,Alcohol,0.6731123388581952
20,NearestCentroid,Alcohol,0.49329123914759276
21,NearestCentroid,Alcohol,0.6831097079715864
22,NearestCentroid,Alcohol,0.7766377269139699
23,NearestCentroid,Alcohol,0.6199684293606945
24,NearestCentroid,Alcohol,0.5812943962115233
25,NearestCentroid,Alcohol,0.5651144435674822
26,NearestCentroid,Alcohol,0.6499605367008682
27,NearestCentroid,Alcohol,0.7343462246777164
28,NearestCentroid,Alcohol,0.6068139963167587
29,NearestCentroid,Alcohol,0.6620626151012892
30,GaussianNB,Alcohol,0.5
31,GaussianNB,Alcohol,0.5
32,GaussianNB,Alcohol,0.5
33,GaussianNB,Alcohol,0.5
34,GaussianNB,Alcohol,0.5
35,GaussianNB,Alcohol,0.5
36,GaussianNB,Alcohol,0.5
37,GaussianNB,Alcohol,0.5
38,GaussianNB,Alcohol,0.5
39,GaussianNB,Alcohol,0.5
40,GaussianNB,Alcohol,0.5
41,GaussianNB,Alcohol,0.5
42,GaussianNB,Alcohol,0.5
43,GaussianNB,Alcohol,0.5
